"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","SlrFD_W_Avg","SlrFD_W_Std","Rain_mm_Tot","Strikes_Tot","Dist_km_Avg","Dist_km_Std","WS_ms_Avg","WS_ms_Std","WindDir_D1_WVT","AirT_C_Avg","AirT_C_Std","VP_mbar_Avg","VP_mbar_Std","BP_mbar_Avg","BP_mbar_Std","RH_Avg","RH_Std","RHT_C_Avg","RHT_C_Std","TiltNS_deg_Avg","TiltNS_deg_Std","TiltWE_deg_Avg","TiltWE_deg_Std","SlrTF_MJ_Tot","Invalid_Wind_Tot","LWmV_17ft_Avg","LWmV_17ft_Std","LWMDry_17ft_Tot","LWMCon_17ft_Tot","LWMWet_17ft_Tot","LWmV_50ft_Avg","LWmV_50ft_Std","LWMDry_50ft_Tot","LWMCon_50ft_Tot","LWMWet_50ft_Tot","LWmV_66ft_Avg","LWmV_66ft_Std","LWMDry_66ft_Tot","LWMCon_66ft_Tot","LWMWet_66ft_Tot"
2022-06-08 11:38:00,"46","14.48","21.52","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.7","0","1","0","0","272.3","0.332","1","0","0","266.5","0.217","1","0","0"
2022-06-08 11:39:00,"47","14.46","21.57","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.2","0.25","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:40:00,"48","14.46","21.61","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.1","0.125","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:41:00,"49","14.47","21.65","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.1","0.206","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:42:00,"50","14.46","21.68","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.1","0.165","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:43:00,"51","14.47","21.72","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:44:00,"52","14.48","21.75","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:45:00,"53","14.48","21.79","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0.085","1","0","0","272","0","1","0","0","265.9","0.043","1","0","0"
2022-06-08 11:46:00,"54","14.48","21.82","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:47:00,"55","14.48","21.85","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.2","0.244","1","0","0","272.1","0.182","1","0","0","266.1","0.265","1","0","0"
2022-06-08 11:48:00,"56","14.47","21.88","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.3","0.304","1","0","0","272.1","0.043","1","0","0","266.3","0.296","1","0","0"
2022-06-08 11:49:00,"57","14.46","21.93","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:50:00,"58","14.46","21.96","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0.061","1","0","0","265.9","0","1","0","0"
2022-06-08 11:51:00,"59","14.47","22.01","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0.128","1","0","0","265.9","0","1","0","0"
2022-06-08 11:52:00,"60","14.46","22.05","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:53:00,"61","14.47","22.09","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.3","0.33","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:54:00,"62","14.47","22.13","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:55:00,"63","14.47","22.18","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:56:00,"64","14.46","22.22","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 11:57:00,"65","14.46","22.26","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0.206","1","0","0","265.9","0","1","0","0"
2022-06-08 11:58:00,"66","14.47","22.3","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","271.6","0.327","1","0","0","265.9","0","1","0","0"
2022-06-08 11:59:00,"67","14.47","22.33","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 12:00:00,"68","14.47","22.37","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 12:01:00,"69","14.48","22.4","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270.3","0.317","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 12:02:00,"70","14.48","22.43","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
2022-06-08 12:03:00,"71","14.48","22.46","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","0","270","0","1","0","0","272","0","1","0","0","265.9","0","1","0","0"
